User_ID,App_ID,f1,f2,f3,f4,f5,TotalScore,X1,X2,X3,X4
1,1,1,0,1,1,5,3,1,1,1,0
1,6,0,1,1,0,5,2,1,1,0,0
2,1,1,1,1,1,4,4,1,1,1,1
2,6,1,1,0,1,3,3,1,1,1,0
3,1,1,1,1,1,4,4,1,1,1,1
3,6,1,1,0,1,3,3,1,1,1,0
4,2,1,0,0,1,5,2,1,1,0,0
4,6,1,1,1,1,5,4,1,1,1,1
5,2,1,0,0,1,5,2,1,1,0,0
5,6,1,1,1,1,4,4,1,1,1,1
6,2,1,0,0,1,5,2,1,1,0,0
6,6,1,1,1,1,3,4,1,1,1,1
7,3,1,1,1,1,5,4,1,1,1,1
7,6,1,1,1,1,3,4,1,1,1,1
8,3,0,1,1,1,3,3,1,1,1,0
8,6,1,1,0,1,4,3,1,1,1,0
9,3,1,1,1,1,5,4,1,1,1,1
9,6,1,0,0,1,3,2,1,1,0,0
10,4,0,1,0,0,5,1,1,0,0,0
10,6,1,1,1,1,3,4,1,1,1,1
11,4,1,1,0,0,3,2,1,1,0,0
11,6,1,1,1,1,4,4,1,1,1,1
12,4,1,1,1,1,5,4,1,1,1,1
12,6,1,1,1,0,5,3,1,1,1,0
13,5,1,0,0,0,3,1,1,0,0,0
13,6,1,0,1,1,5,3,1,1,1,0
14,5,1,0,0,1,3,2,1,1,0,0
14,6,0,1,1,1,4,3,1,1,1,0
15,5,1,1,0,1,5,3,1,1,1,0
15,6,0,0,0,1,3,1,1,0,0,0